phantom,TR,TE,CNR_WM_GM,noise_std_est,J
0,200,10,1.107733459814076,0.02002114342199321,0.851733459814076
0,200,15,0.9708555061719747,0.020052500480786863,0.7148555061719747
0,200,20,0.8543135696591359,0.020100871043179706,0.5983135696591358
0,200,25,0.7432986714756998,0.019941209398418067,0.48729867147569983
0,200,30,0.6543010217690086,0.020087844553598945,0.3983010217690086
0,200,35,0.5433351354968026,0.0201587035851234,0.28733513549680256
0,200,40,0.4832948972039697,0.020100813231973047,0.22729489720396967
0,200,45,0.4196618671699918,0.019986732313959397,0.16366186716999181
0,200,50,0.3240461831649814,0.020022485439559982,0.0680461831649814
0,200,55,0.27782447867467386,0.020108303605759208,0.021824478674673853
0,200,60,0.228689152672288,0.020053114995879757,-0.027310847327711996
0,200,65,0.18153587347929356,0.020020051137591945,-0.07446412652070644
0,200,70,0.14262343344345324,0.019876159541293677,-0.11337656655654677
0,200,75,0.07734087105888791,0.01997710920644048,-0.17865912894111208
0,200,80,0.05583142021912302,0.020005796157364957,-0.200168579780877
0,200,85,0.007412882852386273,0.019977942123281477,-0.24858711714761372
0,200,90,0.016473813151382185,0.020085372241919083,-0.23952618684861782
0,200,95,0.056841529182653845,0.019831683160786057,-0.19915847081734617
0,200,100,0.05404715493797464,0.0199470275264791,-0.20195284506202538
0,200,105,0.0886194711680296,0.02019849855051707,-0.1673805288319704
0,200,110,0.0974327800218644,0.020002742290689008,-0.1585672199781356
0,200,115,0.12144368066527426,0.01993816128515442,-0.13455631933472573
0,200,120,0.11183471285128581,0.019899989619606186,-0.14416528714871418
0,200,125,0.15104128254583515,0.019976354536459864,-0.10495871745416485
0,200,130,0.1532385954614516,0.019920749553404532,-0.1027614045385484
0,200,135,0.14608949942121136,0.01992848814101882,-0.10991050057878865
0,200,140,0.15283505608224116,0.020148474311207528,-0.10316494391775885
0,200,145,0.15989392676081773,0.020066832747853286,-0.09610607323918227
0,200,150,0.17394653685654082,0.020057192145595547,-0.08205346314345918
0,200,155,0.18805078990322613,0.020057095942229906,-0.06794921009677388
0,200,160,0.17228945017811312,0.02001955491792421,-0.08371054982188689
0,200,165,0.17327917517188537,0.019908094268111427,-0.08272082482811463
0,200,170,0.1872392274208856,0.019840406829218078,-0.0687607725791144
0,200,175,0.17663502245056123,0.01994787528503916,-0.07936497754943878
0,200,180,0.1875152684553913,0.019929667897866415,-0.06848473154460871
0,200,185,0.17896868135539434,0.020086582052127867,-0.07703131864460566
0,200,190,0.17848555506821345,0.019971134328983856,-0.07751444493178655
0,200,195,0.17269376279388496,0.020048497396523746,-0.08330623720611505
0,200,200,0.17555859414431033,0.019948779679655016,-0.08044140585568968
0,300,10,1.4232291529839782,0.020040228938874333,1.039229152983978
0,300,15,1.2321098967368842,0.019985145646925693,0.8481098967368842
0,300,20,1.0654214649298774,0.02002034509950493,0.6814214649298774
0,300,25,0.9524853306405605,0.020075968903477057,0.5684853306405605
0,300,30,0.8066779115612217,0.019912812000988545,0.4226779115612217
0,300,35,0.6803708978851578,0.020015973699973724,0.2963708978851578
0,300,40,0.5709811500479944,0.019945155761990664,0.18698115004799443
0,300,45,0.48115978725218617,0.019992109484561486,0.09715978725218616
0,300,50,0.38090487132188744,0.01994047824618369,-0.0030951286781125686
0,300,55,0.31547087378178107,0.019821031799785876,-0.06852912621821894
0,300,60,0.23085225026945824,0.02010583762338363,-0.15314774973054177
0,300,65,0.17422915846267853,0.019943815536941113,-0.20977084153732148
