TR,TE,CNR_WM_GM,CNR_GM_CSF,CNR_WM_CSF
200,10,0.9832563688744627,3.0841546160473237,4.0674109849217865
200,15,0.8583404871592003,2.822773825878941,3.6811143130381416
200,20,0.7441530336182389,2.574421069081443,3.318574102699682
200,25,0.639889882947961,2.3384602609905216,2.9783501439384827
200,30,0.544803145986776,2.114286340904772,2.6590894868915482
200,35,0.4581973959480241,1.9013237590248138,2.3595211549728377
200,40,0.3794261411727659,1.6990250371852547,2.0784511783580206
200,45,0.3078885285945888,1.5068693997806009,1.8147579283751898
200,50,0.2430262631088427,1.3243614714617185,1.5673877345705611
200,55,0.18432072897637125,1.1510300383463932,1.3353507673227645
200,60,0.13129030027056246,0.986426869646368,1.1177171699169306
200,65,0.08348782820023701,0.8301255967643292,0.9136134249645662
200,70,0.040498293912968886,0.6817206470579824,0.7222189409709513
200,75,0.0019366161068821303,0.540826229605083,0.5427628457119651
200,80,0.03255439654289531,0.40707537043329634,0.374520973890401
200,85,0.06330595750148153,0.2801189948024637,0.21681303730098217
200,90,0.09062508779809006,0.15962505424450615,0.0689999664464161
200,95,0.11479628296129224,0.0452776961781004,0.06951858678319184
200,100,0.1360830691476432,0.06322352597826764,0.19930659512591084
200,105,0.1547294556556524,0.16616440416998488,0.3208938598256373
200,110,0.17096129055798673,0.26381679042556083,0.43477808098354753
200,115,0.1849875257546929,0.3564392767185825,0.5414268024732753
200,120,0.1970013973472174,0.4442778416724122,0.6412792390196296
200,125,0.20718152685548497,0.5275664657247027,0.7347479925801876
200,130,0.21569294844659379,0.606527716289985,0.8222206647365788
200,135,0.22268806701237887,0.6813733043835267,0.9040613713959056
200,140,0.2283075516227152,0.7523046140983048,0.9806121657210201
200,145,0.23268116859073046,0.8195132062590905,1.052194374849821
200,150,0.23592855811378402,0.8831812975130039,1.1191098556267878
200,155,0.23815995819904193,0.9434822160545491,1.181642174253591
200,160,0.23947687934359715,1.0005808351246628,1.2400577144682599
200,165,0.23997273321541313,1.0546339853677544,1.2946067185831676
200,170,0.23973341837184042,1.1057908470778495,1.3455242654496897
200,175,0.23883786585632924,1.1541933233146424,1.3930311891709717
200,180,0.23735854733022316,1.1999763948224706,1.4373349421526938
200,185,0.23536194822455267,1.2432684576396589,1.4786304058642115
200,190,0.23290900823569588,1.2841916442424643,1.5171006524781603
200,195,0.23005553133799747,1.3228621290266311,1.5529176603646289
200,200,0.22685256734529838,1.3593904188904222,1.5862429862357208
300,10,1.2514840512555525,4.356923913494113,5.608407964749666
300,15,1.0814708628575795,3.9794013890157616,5.0608722518733416
300,20,0.9263252567271618,3.6207061984161464,4.547031455143308
300,25,0.7849237161827755,3.279919084726007,4.0648428009087825
300,30,0.6562216579115584,2.9561656262569262,3.6123872841684848
300,35,0.5392481198467337,2.648614049952404,3.1878621697991374
300,40,0.4331007967284778,2.3564731513830908,2.7895739481115682
300,45,0.33694140102305675,2.0789903161850614,2.4159317172081183
300,50,0.2499913282890745,1.8154496379936984,2.0654409662827726
300,55,0.17152760740507117,1.5651701281670336,1.7366977355721047
300,60,0.10087911731499408,1.3275040128219437,1.4283831301369376
300,65,0.03742305311230515,1.1018351129248698,1.139258166037175
300,70,0.019418374625321255,0.8875773033864706,0.8681589287611493
300,75,0.07018102231620416,0.6841730473071288,0.6139920249909246
300,80,0.11536169177694747,0.4910920017081675,0.3757303099312201
300,85,0.15542081775594963,0.30782969126236515,0.15240887350641552
300,90,0.19078497696581598,0.1339062467074173,0.05687873025839868
300,95,0.2218492301938116,0.031134795212277994,0.25298402540608955
300,100,0.2489793083306841,0.18772763327630504,0.43670694160698914
300,105,0.2725136524659683,0.33628528764577287,0.6087989401117412
300,110,0.2927653175492522,0.4772006327629613,0.7699659503122135
